NAME	S	BETX	BETY
DS	282.928	3.766186248	13.34112931
B	284.0475	4.897994421	9.441063827
O2	285.097	6.622511853	6.59892393
F7	285.7545	7.393421297	5.713992734
O1	286.321	6.786937866	6.205409841
FS	286.502	6.430089802	6.560314844
B	287.6215	4.653469405	9.201050774
OM	288.615	3.697553405	12.18924273
RP	288.67	3.661786102	12.37237834
OM	288.725	3.627836915	12.55737211
D7	289.327	3.644783832	13.65287071
O1	289.894	4.483607004	12.55788547
DS	290.075	4.913071455	11.92015923
B	291.1945	8.301833235	8.474838495
O2	292.244	12.62067853	6.004971674
F7	292.9015	14.6406514	5.286125465
O1	293.468	13.74638434	5.842501492
FS	293.649	13.09785802	6.210913999
B	294.7685	9.544308622	8.973516483
OM	295.762	7.034936305	12.13203187
RP	295.817	6.913917026	12.32633305
OM	295.872	6.794815222	12.52267256
D7	296.474	6.085428039	13.75050483
O1	297.041	6.553915772	12.76622008
DS	297.222	6.888814475	12.15694775
B	298.3415	9.343418289	8.849454243
O2	299.391	12.2478647	6.445318334
F7	300.0485	13.21595199	5.776445876
O1	300.615	11.67014276	6.460612046
FS	300.796	10.88569902	6.88688167
B	301.9155	6.767141517	10.03837606
OM	302.909	4.164631878	13.58431589
RP	302.964	4.049680902	13.80122573
OM	303.019	3.937811875	14.0202955
D7	303.621	3.165668694	15.37803702
O1	304.188	3.205537207	14.24884364
DS	304.369	3.340565508	13.55590745
B	305.4885	4.678525764	9.758904829
O2	306.538	6.714234992	6.963055822
F7	307.1955	7.714833107	6.115483904
O1	307.762	7.247181229	6.709088606
FS	307.943	6.918198909	7.110739761
B	309.0625	5.250224782	10.06913192
OM	310.056	4.305344091	13.37384953
RP	310.111	4.267849289	13.57545098
OM	310.166	4.231929919	13.77900959
D7	310.768	4.258171871	14.97920643
O1	311.335	5.185136613	13.76167529
DS	311.516	5.656961385	13.05312
B	312.6355	9.301464288	9.181897566
O2	313.685	13.83170409	6.377476015
F7	314.3425	15.85660749	5.504931334
O1	314.909	14.72453047	5.973051438
FS	315.09	13.9722142	6.315571024
B	316.2095	9.834459572	8.891672019
OM	317.203	6.933839385	11.82813407
RP	317.258	6.794745724	12.00852975
OM	317.313	6.657942784	12.19079832
D7	317.915	5.760236463	13.28388183
O1	318.482	6.013435295	12.24125354
DS	318.663	6.266867596	11.62542754
B	319.7825	8.188028048	8.280844925
O2	320.832	10.52463285	5.891726239
F7	321.4895	11.26851306	5.211433021
O1	322.056	9.893598323	5.790582753
FS	322.237	9.211948891	6.166618911
B	323.3565	5.678386708	9.002786696
OM	324.35	3.539064855	12.25132314
RP	324.405	3.448207044	12.45123795
OM	324.46	3.360262711	12.65326051
D7	325.062	2.807332414	13.9328767
O1	325.629	3.007096385	12.96452095
DS	325.81	3.193892879	12.35382537
B	326.9295	4.939106201	9.02179955
O2	327.979	7.492678478	6.589076326
F7	328.6365	8.797194871	5.911449803
O1	329.203	8.391361297	6.612125461
FS	329.384	8.048017971	7.047562429
B	330.5035	6.258518999	10.25697105
OM	331.497	5.146508404	13.85570243
RP	331.552	5.098135672	14.07556053
OM	331.607	5.051172497	14.29758247
D7	332.209	5.002441539	15.66663522
O1	332.776	5.952080597	14.50414885
DS	332.957	6.442756082	13.79596636
B	334.0765	10.12456898	9.928229565
O2	335.126	14.58818056	7.074429336
F7	335.7835	16.4688189	6.200655558
O1	336.35	15.10298163	6.784355576
FS	336.531	14.27202508	7.183365483
B	337.6505	9.755320113	10.1038618
OM	338.644	6.629024827	13.35886655
RP	338.699	6.480427193	13.55731675
OM	338.754	6.334437063	13.75767968
D7	339.356	5.325259546	14.9264833
O1	339.923	5.416600159	13.69425895
DS	340.104	5.60403435	12.98545637
B	341.2235	7.085969384	9.139101392
O2	342.273	8.981642834	6.355085217
F7	342.9305	9.583427912	5.490707459
O1	343.497	8.409914586	5.960692567
FS	343.678	7.833887757	6.302712804
B	344.7975	4.900432076	8.865453699
OM	345.791	3.205561223	11.78735412
RP	345.846	3.136837451	11.96691418
OM	345.901	3.070766416	12.14834096
TO17	346.3045	2.667164114	13.53643696
W0	346.749	2.369984308	15.29411286
WM	346.9975	2.169022632	17.08394034
WP	347.3225	2.244202778	17.54791906
WM	347.6475	2.176007206	19.95686605
W0	347.896	2.382946624	20.10804601
TO16	348.2205	2.594727507	21.55453433
NTX2	348.529	2.864576152	23.13820361
TO15	348.634	2.9754419	23.69196431
NTZ3	348.739	3.095967641	24.25321515
TO14	349.084	3.55999504	26.15006183
NTP4	349.369	4.021981977	27.77801334
TO13	349.534	4.321976652	28.74573351
TL4	350.3325	6.876435891	29.59576668
TO12	351.1075	13.58288872	20.34285134
TL3	351.8825	21.68504416	12.62907984
TO11	352.881	20.92203955	11.50271749
RES1	353.716	17.77300281	12.15395793
TO10	354.331	15.66407631	12.72059494
NTZ2	354.536	15.00076694	12.92587034
TO09	354.741	14.35729062	13.13934393
RES2	355.356	12.54586002	13.82895391
TO08	355.931	11.01370675	14.54045263
NTP2	356.036	10.75077031	14.6773428
TO07	356.076	10.65197265	14.73005717
NTX1	356.176	10.40828207	14.86320864
TO06	356.381	9.923470228	15.14226782
RES3	356.996	8.588033066	16.02863454
TO05	358.8215	5.67533079	19.09418194
TL2	360.8105	4.808740142	20.67155719
TO04	361.5855	7.037233656	13.98247207
TL1	362.3605	9.860990304	8.230914704
TO03	363.169	10.31773255	5.834038764
NTP0	363.344	10.21307161	5.524087616
TO02	363.394	10.18436249	5.439066158
NTZ1	363.504	10.12307037	5.257550845
TO01	364.789	9.597319835	3.700550183
CTX	366.039	9.422200767	3.181934934
RING$END	366.074	9.4220708	3.181549899
